,No. of intermolecular contacts,No. of charged-charged contacts,No. of charged-polar contacts,No. of charged-apolar contacts,No. of polar-polar contacts,No. of apolar-polar contacts,No. of apolar-apolar contacts,Percentage of apolar NIS residues,Percentage of charged NIS residues,Predicted binding affinity (kcal.mol-1),Predicted dissociation constant (M) at 25.0°C
l12_1,28,0,4,6,0,8,10,36.19,21.68,-8.6,4.9e-07
l13_1,63,7,5,17,4,15,15,35.24,21.70,-11.3,4.8e-09
l13_3,57,0,13,9,5,9,21,35.41,21.59,-8.3,8.0e-07
l13_2,21,0,6,3,4,4,4,35.27,21.58,-6.8,1.0e-05
l12_3,20,0,6,2,3,4,5,36.01,21.50,-6.8,1.1e-05
l13_4,53,2,11,9,0,23,8,35.88,21.49,-12.6,5.9e-10
l12_4,84,5,17,22,9,20,11,35.52,21.90,-11.7,2.5e-09
l13_5,18,0,5,2,3,4,4,35.38,21.54,-6.9,9.0e-06
l12_5,9,0,0,5,0,1,3,35.94,21.70,-7.0,7.9e-06
l12_2,19,0,6,2,3,4,4,35.85,21.44,-6.8,1.0e-05
